FractureX[m],FractureY[m],FractureZ[m],Formation
14667509.03,4522346.474,-6296.166275,Fracture
14667247.97,4522330.584,-6280.385494,Fracture
14667863.02,4522372.917,-6295.129794,Fracture
14669546.58,4522394.342,-6306.783421,Fracture
14666019.34,4522412.033,-6313.482258,Fracture
14667998.05,4522441.383,-6296.147431,Fracture
14666538.75,4522435.784,-6339.395491,Fracture
14666864.11,4522428.713,-6300.117605,Fracture
14666880.55,4522430.832,-6290.20752,Fracture
14667656.36,4522453.905,-6296.554891,Fracture
14667648.58,4522455.835,-6295.684207,Fracture
14667109.07,4522453.323,-6290.985553,Fracture
14668368.61,4522473.997,-6315.054492,Fracture
14668371.55,4522477.647,-6290.117695,Fracture
14665752.41,4522481.13,-6309.525421,Fracture
14667269.58,4522478.08,-6286.049015,Fracture
14667685.21,4522494.242,-6291.0088,Fracture
14667293.48,4522487.996,-6312.86271,Fracture
14668027.86,4522510.092,-6315.398161,Fracture
14669480.41,4522509.307,-6304.434826,Fracture
14667567.23,4522536.751,-6290.085883,Fracture
14667299.63,4522538.169,-6290.137171,Fracture
14667713.35,4522560.018,-6297.143178,Fracture
14667514.49,4522574.794,-6307.048222,Fracture
14667551.68,4522571.441,-6319.672628,Fracture
14668342.98,4522561.854,-6316.532002,Fracture
14665701.82,4522578.437,-6328.785591,Fracture
14668426.11,4522596.722,-6298.750574,Fracture
14666550.13,4522596.482,-6332.978781,Fracture
14668323.34,4522604.092,-6305.357698,Fracture
14665913.22,4522633.918,-6324.328947,Fracture
14668007.27,4522644.264,-6299.626654,Fracture
14668347.56,4522655.982,-6300.483357,Fracture
14667585.83,4522686.023,-6295.250884,Fracture
14667576.72,4522687.493,-6288.935145,Fracture
14667599.12,4522692.412,-6317.763223,Fracture
14669441.63,4522682.221,-6326.663361,Fracture
14667393.68,4522676.087,-6288.865763,Fracture
14667096.02,4522687.449,-6293.969762,Fracture
14667650.47,4522724.482,-6311.631593,Fracture
14667216.69,4522720.788,-6313.306917,Fracture
14668757.37,4522734.482,-6319.970188,Fracture
14665226.38,4522732.635,-6286.475018,Fracture
14667988.69,4522760.682,-6316.484421,Fracture
14668462.97,4522756.268,-6287.551877,Fracture
14667146.64,4522759.022,-6290.58768,Fracture
14668183.24,4522774.675,-6316.877245,Fracture
14667206.73,4522774.362,-6304.837644,Fracture
14668728.16,4522790.793,-6289.322016,Fracture
14666917.53,4522789.944,-6317.074222,Fracture
14668336.88,4522803.687,-6306.215271,Fracture
14666759.3,4522805.149,-6326.638242,Fracture
14667307.23,4522796.219,-6286.454017,Fracture
14668250.59,4522825.447,-6311.861788,Fracture
14667674.45,4522837.526,-6294.727289,Fracture
14668437.32,4522837.284,-6299.253008,Fracture
14670406.69,4522828.419,-6302.682952,Fracture
14666759.34,4522833.568,-6296.523732,Fracture
14667338.61,4522819.8,-6291.734311,Fracture
14668499.11,4522840.964,-6301.45108,Fracture
14667728.83,4522861.691,-6308.434244,Fracture
14668009.33,4522875.676,-6292.073398,Fracture
14668174.21,4522874.563,-6305.784021,Fracture
14668068.83,4522899.623,-6316.403553,Fracture
14667034.22,4522895.755,-6310.301318,Fracture
14667796.67,4522921.012,-6309.336253,Fracture
14668314.18,4522919.996,-6313.844487,Fracture
14665417.67,4522909.745,-6309.106017,Fracture
14666817.38,4522901.792,-6296.415993,Fracture
14668471.82,4522929.091,-6291.339375,Fracture
14667906.75,4522933.527,-6305.260917,Fracture
14670439.83,4522934.464,-6332.469939,Fracture
14668338.49,4522957.451,-6318.231316,Fracture
14667046.95,4522952.369,-6314.59419,Fracture
14665617.03,4522959.059,-6308.730963,Fracture
14666437.58,4522960.363,-6309.063803,Fracture
14667922.52,4522981.218,-6311.983216,Fracture
14668006.13,4522989.709,-6298.914719,Fracture
14668881.01,4522986.278,-6290.832699,Fracture
14666619.23,4522980.458,-6306.21702,Fracture
14666658.38,4522982.632,-6292.135408,Fracture
14666964.61,4522997.785,-6287.899311,Fracture
14667868.71,4523021.815,-6303.418369,Fracture
14666568.67,4523009.09,-6303.998427,Fracture
14666741.9,4523009.463,-6310.029543,Fracture
14667366,4523009.016,-6309.321268,Fracture
14668300.46,4523031.454,-6318.087992,Fracture
14668995.12,4523026.489,-6296.739525,Fracture
14666706.68,4523019.787,-6284.906747,Fracture
14667363.84,4523020.848,-6300.193627,Fracture
14667403.25,4523037.27,-6283.969929,Fracture
14667296.9,4523042.957,-6306.20525,Fracture
14666975.96,4523060.044,-6284.797098,Fracture
14666854.12,4523070.032,-6298.553651,Fracture
14667482.1,4523067.068,-6285.603342,Fracture
14667774.1,4523090.123,-6304.195511,Fracture
14667782.15,4523097.052,-6309.205434,Fracture
14668078.78,4523098.01,-6295.687302,Fracture
14668086.74,4523103.022,-6297.447159,Fracture
14668623.42,4523107.216,-6304.877834,Fracture
14668328.99,4523112.508,-6298.60591,Fracture
14667216.6,4523129.628,-6282.0321,Fracture
14667289.45,4523141.731,-6295.787033,Fracture
14667359.18,4523138.759,-6294.761272,Fracture
14667110.42,4523145.459,-6309.56146,Fracture
14667785.64,4523168.769,-6285.501348,Fracture
14667922.1,4523174.628,-6311.922638,Fracture
14668610.37,4523168.39,-6292.430425,Fracture
14668987.24,4523166.654,-6302.587701,Fracture
14667395.71,4523153.602,-6283.432843,Fracture
14668550.69,4523180.569,-6297.191419,Fracture
14668638.82,4523176.93,-6293.194039,Fracture
14668308.83,4523184.833,-6311.747699,Fracture
14668197.11,4523191.504,-6293.03271,Fracture
14669486.95,4523190.403,-6317.909131,Fracture
14666446.14,4523187.367,-6284.446433,Fracture
14666707.55,4523196.161,-6278.44762,Fracture
14667018.65,4523204.949,-6283.131079,Fracture
14667500.96,4523202.56,-6308.988999,Fracture
14667550.9,4523203.218,-6307.878767,Fracture
14667575.07,4523210.488,-6283.395675,Fracture
14667919.41,4523240.396,-6306.306071,Fracture
14669702.95,4523231.925,-6292.576147,Fracture
14670250.49,4523229.991,-6320.654792,Fracture
14667449.74,4523227.985,-6282.497018,Fracture
14667891.69,4523250.355,-6313.604059,Fracture
14669855.32,4523245.427,-6300.087289,Fracture
14667957.96,4523268.253,-6303.242176,Fracture
14668244.92,4523262.404,-6306.293069,Fracture
14665736.83,4523264.446,-6309.466325,Fracture
14667045.87,4523261.885,-6277.711386,Fracture
14667859.67,4523281.145,-6303.011901,Fracture
